municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Hornachos,3867,1,16.65,1933.50,32184.34,5.83,8.50,14.33
Zalamea de la Serena,3978,6,16.48,1989.00,32775.06,5.77,8.55,14.31
Madroñera,2916,19,15.58,1458.00,22715.47,5.45,8.81,14.26
Ibahernando,488,19,15.49,244.00,3779.13,5.42,8.81,14.23
Baterno,352,11,17.14,176.00,3015.96,6.00,8.20,14.20
Casares de las Hurdes,528,21,13.69,264.00,3614.85,4.79,9.38,14.17
Portezuelo,268,20,15.40,134.00,2064.23,5.39,8.73,14.12
Gargüera,132,29,25.14,66.00,1658.99,8.80,5.31,14.11
Santa Cruz de la Sierra,270,19,15.08,135.00,2036.10,5.28,8.81,14.09
Talarrubias,3630,11,16.77,1815.00,30441.11,5.87,8.20,14.07
Aldea del Cano,721,46,29.62,360.50,10677.75,10.37,3.49,13.85
San Vicente de Alcántara,5808,39,14.85,2904.00,43119.96,5.20,8.61,13.81
Valverde de Mérida,1159,14,27.91,579.50,16176.59,9.77,4.03,13.80
Torre de Don Miguel,568,31,14.21,284.00,4035.66,4.97,8.81,13.79
Ahillones,1052,10,20.34,526.00,10699.72,7.12,6.66,13.78
Hernán-Pérez,518,31,14.15,259.00,3665.11,4.95,8.81,13.77
Solana de los Barros,2826,14,27.64,1413.00,39056.47,9.67,4.03,13.71
Cachorrilla,93,20,14.18,46.50,659.30,4.96,8.73,13.69
Higuera de Llerena,353,10,19.99,176.50,3529.03,7.00,6.66,13.66
Jarilla,154,22,13.81,77.00,1063.45,4.83,8.81,13.65
Salvatierra de los Barros,1788,9,26.76,894.00,23927.51,9.37,4.22,13.59
Tamurejo,259,11,15.37,129.50,1989.77,5.38,8.20,13.58
Garganta la Olla,1062,22,13.37,531.00,7098.76,4.68,8.81,13.49
Garbayuela,547,11,15.11,273.50,4131.44,5.29,8.20,13.49
Guijo de Coria,231,25,13.85,115.50,1599.51,4.85,8.64,13.48
Pasarón de la Vera,677,22,13.18,338.50,4460.76,4.61,8.81,13.43
Lobón,2723,4,18.80,1361.50,25592.20,6.58,6.83,13.41
Casas de Miravete,145,27,14.21,72.50,1030.28,4.97,8.41,13.38
Tornavacas,1181,22,12.69,590.50,7495.54,4.44,8.81,13.26
Santa Amalia,4326,3,21.17,2163.00,45781.12,7.41,5.83,13.24
Valencia del Ventoso,2249,5,17.51,1124.50,19685.25,6.13,7.09,13.21
Serrejón,444,27,13.65,222.00,3031.02,4.78,8.41,13.19
Higuera,100,27,13.55,50.00,677.68,4.74,8.41,13.15
Villa del Campo,555,25,12.90,277.50,3579.82,4.52,8.64,13.15
Zarza de Granadilla,1864,22,12.17,932.00,11341.73,4.26,8.81,13.07
Pescueza,157,20,12.31,78.50,966.73,4.31,8.73,13.04
Villa del Rey,157,44,8.93,78.50,700.76,3.12,9.90,13.03
